,val_acc,test_acc,n_bad_images,i_bad_images,ii_bad_images,iii_bad_images,iv_bad_images,v_bad_images,vi_bad_images,vii_bad_images,viii_bad_images,ix_bad_images,x_bad_images
0,0.8506944179534912,0.7884615659713745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9444444179534912,0.7115384340286255,129.0,4.0,19.0,6.0,22.0,2.0,16.0,12.0,24.0,19.0,5.0
2,0.9629629850387573,0.75,175.0,5.0,25.0,9.0,31.0,3.0,21.0,23.0,28.0,25.0,5.0
3,0.9664351940155029,0.8653846383094788,204.0,8.0,28.0,13.0,37.0,5.0,21.0,28.0,32.0,27.0,5.0
4,0.9733796119689941,0.7115384340286255,228.0,8.0,29.0,16.0,44.0,7.0,22.0,31.0,34.0,29.0,8.0
5,0.9733796119689941,0.8653846383094788,248.0,9.0,33.0,19.0,46.0,7.0,27.0,34.0,34.0,29.0,10.0
6,0.9756944179534912,0.7884615659713745,263.0,10.0,34.0,20.0,47.0,9.0,27.0,40.0,35.0,31.0,10.0
7,0.9780092835426331,0.8461538553237915,275.0,10.0,35.0,21.0,49.0,9.0,28.0,41.0,36.0,36.0,10.0
8,0.96875,0.7884615659713745,286.0,10.0,37.0,22.0,52.0,10.0,28.0,41.0,37.0,38.0,11.0
9,0.9699074029922485,0.8269230723381042,302.0,13.0,42.0,22.0,52.0,10.0,30.0,42.0,41.0,38.0,12.0
10,0.9733796119689941,0.8653846383094788,315.0,14.0,46.0,23.0,54.0,11.0,31.0,45.0,41.0,38.0,12.0
11,0.9768518805503845,0.7884615659713745,323.0,15.0,46.0,25.0,55.0,11.0,33.0,45.0,43.0,38.0,12.0
12,0.9826388955116272,0.8269230723381042,333.0,17.0,46.0,25.0,57.0,12.0,34.0,48.0,43.0,38.0,13.0
13,0.9803240895271301,0.7307692170143127,336.0,17.0,46.0,25.0,57.0,13.0,34.0,49.0,44.0,38.0,13.0
14,0.9768518805503845,0.7884615659713745,342.0,18.0,48.0,25.0,57.0,13.0,35.0,49.0,46.0,38.0,13.0
15,0.9837962985038757,0.8269230723381042,349.0,18.0,48.0,25.0,57.0,13.0,41.0,49.0,46.0,38.0,14.0
16,0.9780092835426331,0.75,357.0,19.0,48.0,26.0,57.0,16.0,41.0,49.0,48.0,39.0,14.0
17,0.9826388955116272,0.7307692170143127,361.0,19.0,49.0,27.0,57.0,16.0,42.0,49.0,48.0,40.0,14.0
18,0.9791666865348816,0.7884615659713745,364.0,19.0,50.0,28.0,57.0,16.0,42.0,50.0,48.0,40.0,14.0
19,0.9803240895271301,0.7692307829856873,369.0,20.0,51.0,28.0,57.0,16.0,42.0,50.0,49.0,40.0,16.0
20,0.9803240895271301,0.7692307829856873,373.0,20.0,52.0,31.0,57.0,16.0,42.0,50.0,49.0,40.0,16.0
21,0.9780092835426331,0.692307710647583,378.0,21.0,53.0,31.0,58.0,16.0,42.0,50.0,49.0,41.0,17.0
22,0.9791666865348816,0.8846153616905212,380.0,22.0,53.0,31.0,58.0,16.0,42.0,51.0,49.0,41.0,17.0
23,0.9780092835426331,0.6730769276618958,382.0,22.0,53.0,31.0,59.0,17.0,42.0,51.0,49.0,41.0,17.0
24,0.9826388955116272,0.75,383.0,22.0,53.0,31.0,59.0,17.0,42.0,52.0,49.0,41.0,17.0
25,0.9814814925193787,0.807692289352417,388.0,23.0,53.0,31.0,60.0,17.0,44.0,52.0,50.0,41.0,17.0
26,0.9768518805503845,0.7884615659713745,389.0,23.0,53.0,31.0,60.0,17.0,44.0,52.0,51.0,41.0,17.0
27,0.9872685074806213,0.807692289352417,389.0,23.0,53.0,31.0,60.0,17.0,44.0,52.0,51.0,41.0,17.0
28,0.9780092835426331,0.7884615659713745,389.0,23.0,53.0,31.0,60.0,17.0,44.0,52.0,51.0,41.0,17.0
29,0.9722222089767456,0.8461538553237915,393.0,24.0,54.0,31.0,61.0,17.0,44.0,53.0,51.0,41.0,17.0
30,0.9745370149612427,0.692307710647583,393.0,24.0,54.0,31.0,61.0,17.0,44.0,53.0,51.0,41.0,17.0
31,0.9756944179534912,0.75,397.0,24.0,55.0,32.0,61.0,17.0,44.0,53.0,51.0,42.0,18.0
32,0.9745370149612427,0.8269230723381042,398.0,24.0,55.0,32.0,61.0,17.0,44.0,54.0,51.0,42.0,18.0
33,0.9733796119689941,0.7115384340286255,401.0,24.0,56.0,33.0,61.0,17.0,44.0,54.0,51.0,42.0,19.0
